designation                 , ra                   , dec                 , phot_g_mean_mag, bp_rp       , parallax           , l                     , b
Gaia DR3 1576683529448755328, 193.50817846782095   , 55.959784778923755  ,       1.731607 , 0.33836722  ,                    , 122.17900222725109    , 61.16467171974013
Gaia DR3 6560604777055249536, 332.05907779469464   , -46.96161734        ,       1.7732803, 0.25205588  ,                    , 349.99720167698774    , -52.4740755
Gaia DR3 1510374147844219904, 206.8843267438112    , 49.313201807217496  ,       1.881019 , 0.16552424  ,                    , 100.69660246343622    , 65.32279019596191
Gaia DR3 3377166289889430656,  95.74037353106223   , 22.51309871600816   ,       1.8813683, 1.8783841   ,                    , 189.72712181762523    , 4.169139221577211
Gaia DR3 418551920284673408 ,  10.12724197930297   , 56.53718879378639   ,       1.9425238, 1.1434835   , 14.090976249252234 , 121.41661328388982    , -6.302402704
Gaia DR3 4677205714465503104,  69.18931858         , -62.07749051        ,       1.9587749, 3.7703938   ,                    , 272.67189303930775    , -39.34258213
Gaia DR3 6026152137856166912, 252.53759018899078   , -34.29437175        ,       1.9910356, 1.187696    ,                    , 348.808455            , 6.562285149324779
Gaia DR3 4357027756659697664, 243.58621066034064   , -3.694967708        ,       2.0164251, 1.5633104   , 20.411292350652413 ,   8.842182814972908   , 32.19640855
Gaia DR3 426558460884582016 ,  14.177450998208093  , 60.71672280471204   ,       2.0645833, 0.41073465  ,                    , 123.57698659515256    , -2.148424019
Gaia DR3 3011968416163350272,  86.93912852502406   , -9.669607138        ,       2.0778263, 0.19949937  ,                    , 214.51434125798403    , -18.49646212
Gaia DR3 5589311357728452608, 109.28559423278779   , -37.09744449        ,       2.0832374, 1.5425804   , 5.762063161817684  , 249.0106070233406     , -11.27904692
Gaia DR3 4993479684438433792,   6.572155501        , -42.30782033        ,       2.0899775, 1.2694821   , 39.91825815729799  , 319.9946523277466     , -73.97702643
Gaia DR3 4493746564376875520, 263.7341968642716    , 12.559009843277153  ,       2.1082857, 0.6185856   ,                    ,  35.89298447791118    , 22.56712115667395
Gaia DR3 142853330981747328 ,  46.29487462677558   , 38.83980896875264   ,       2.111629 , 2.1664658   ,                    , 149.5988915154503     , -17.00914052
