# ID       , RA                 , DEC                , G     , BP-RP , parallax
* 1 Gem    , 06 04 07.21544     , +23 15 48.0401     , 3.885 , 1.068 , 21.03
* 10 Tau   , 03 36 52.3837044168, +00 24 05.992097829, 4.045 , 1.044 , 71.837
* 13 Cet   , 00 35 14.87968     , -03 35 34.2367     , 5.074 , 0.72  , 47.05
* 13 Tri   , 02 28 48.4944856357, +29 55 54.328558216, 5.754 , 0.757 , 31.7031
* 14 Ari   , 02 09 25.3249845242, +25 56 23.416316591, 4.892 , 0.5   , 18.9736
* 15 Eri   , 03 18 22.1101471484, -22 30 39.975423421, 4.592 , 1.117 , 7.0838
* 15 Lyn   , 06 57 16.6052608   , +58 25 21.940435   , 4.095 , 1.044 , 18.29
* 21 Ari   , 02 15 42.77662     , +25 02 34.9627     , 5.456 , 0.681 , 19.58
* 35 Ari   , 02 43 27.1142794560, +27 42 25.737873444, 4.619 , -0.103, 5.2876
* 41 Ari   , 02 49 59.0332406   , +27 15 37.826018   , 3.545 , -0.061, 19.69
* 42 Peg   , 22 41 27.7207176   , +10 49 52.907917   , 3.362 , -0.041, 15.96
* 47 Cas   , 02 05 07.4242273   , +77 16 52.824198   , 5.187 , 0.48  , 30.16
* 50 Hya   , 14 12 46.0229491343, -27 15 40.268119429, 4.659 , 1.428 , 14.6511
* 55 Leo   , 10 55 42.3961058578, +00 44 12.909374947, 5.828 , 0.595 , 21.9667
* 93 Leo   , 11 47 59.13595     , +20 13 08.1500     , 4.381 , 0.73  , 14.02
* 97 Aqr   , 23 22 39.17113     , -15 02 21.6245     , 5.157 , 0.325 , 15.3
* 132 Tau  , 05 49 00.9709498512, +24 34 02.858704284, 4.53  , 1.264 , 6.3528
* alf And  , 00 08 23.25988     , +29 05 25.5520     , 2.01  , -0.079, 33.62
* alf Aql  , 19 50 46.99855     , +08 52 05.9563     , 0.696 , 0.34  , 194.95
* alf Ara  , 17 31 50.4915282   , -49 52 34.122041   , 2.896 , -0.153, 12.2
* alf Ari  , 02 07 10.40570     , +23 27 44.7032     , 1.589 , 1.428 , 49.56
* alf Aur  , 05 16 41.35871     , +45 59 52.7693     , -0.153, 0.984 , 76.2
* alf Boo  , 14 15 39.67207     , +19 10 56.6730     , -0.514, 1.515 , 88.83
* alf CMa  , 06 45 08.91728     , -16 42 58.0171     , -1.507, 0.056 , 379.21
* alf CMi  , 07 39 18.11950     , +05 13 29.9552     , 0.268 , 0.595 , 284.56
* alf Car  , 06 23 57.10988     , -52 41 44.3810     , -0.796, 0.243 , 10.55
* alf Cen A, 14 39 36.49400     , -60 50 02.3737     , -0.185, 0.886 , 743
* alf Cen B, 14 39 35.06311     , -60 50 15.0992     , 1.061 , 1.081 , 743
* alf Cep  , 21 18 34.77233     , +62 35 08.0681     , 2.396 , 0.34  , 66.5
* alf Cet  , 03 02 16.77307     , +04 05 23.0596     , 1.77  , 2.948 , 13.09
* alf Com  , 13 09 59.28520     , +17 31 46.0389     , 4.21  , 0.627 , 56.1
* alf Dor  , 04 33 59.77719     , -55 02 41.9243     , 3.231 , -0.066, 19.34
* alf Eri  , 01 37 42.84548     , -57 14 12.3101     , 0.407 , -0.14 , 23.39
* alf Gem  , 07 34 35.87319     , +31 53 17.8160     , 1.532 , 0.103 , 64.12
* alf Gru  , 22 08 13.98473     , -46 57 39.5078     , 1.659 , -0.103, 32.29
* alf Hya  , 09 27 35.24270     , -08 39 30.9583     , 1.356 , 1.923 , 18.09
* alf Hyi  , 01 58 46.1385834212, -61 34 11.359751511, 2.765 , 0.44  , 51.5547
* alf Leo  , 10 08 22.31099     , +11 58 01.9516     , 1.347 , -0.14 , 41.13
* alf Lyr  , 18 36 56.33635     , +38 47 01.2802     , -0.017, 0.056 , 130.23
* alf Mus  , 12 37 11.0178886   , -69 08 08.033239   , 2.596 , -0.147, 10.34
* alf Oph  , 17 34 56.06945     , +12 33 36.1346     , 2.014 , 0.243 , 67.13
* alf Pav  , 20 25 38.85705     , -56 44 06.3230     , 1.867 , -0.1  , 18.24
* alf Peg  , 23 04 45.65345     , +15 12 18.9617     , 2.433 , 0.008 , 24.46
* alf Pic  , 06 48 11.45512     , -61 56 29.0008     , 3.165 , 0.354 , 33.78
* alf PsA  , 22 57 39.04625     , -29 37 20.0533     , 1.109 , 0.163 , 129.81
* alf Sex  , 10 07 56.2837668024, -00 22 18.013326564, 4.443 , 0.008 , 7.6582
* alf Tau  , 04 35 55.23907     , +16 30 33.4885     , 0.179 , 2.549 , 48.94
* alf Tri  , 01 53 04.9054187154, +29 34 43.747211027, 3.302 , 0.66  , 51.331
* alf UMa  , 11 03 43.67152     , +61 45 03.7249     , 1.422 , 1.323 , 26.54
* alf Vir  , 13 25 11.57937     , -11 09 40.7501     , 0.91  , -0.227, 13.06
* alf02 Lib, 14 50 52.71309     , -16 02 30.3955     , 2.694 , 0.243 , 43.03
* bet And  , 01 09 43.92388     , +35 37 14.0075     , 1.346 , 2.681 , 16.52
* bet Ari  , 01 54 38.41099     , +20 48 28.9133     , 2.596 , 0.216 , 55.6
* bet Aur  , 05 59 31.7229284   , +44 56 50.757259   , 1.852 , 0.091 , 40.21
* bet CMi  , 07 27 09.0417373   , +08 17 21.536745   , 2.841 , -0.054, 20.17
* bet Car  , 09 13 11.97746     , -69 43 01.9473     , 1.643 , 0.056 , 28.82
* bet Cas  , 00 09 10.68518     , +59 08 59.2120     , 2.186 , 0.502 , 59.58
* bet Cet  , 00 43 35.37090     , -17 59 11.7827     , 1.675 , 1.246 , 33.86
* bet Cru  , 12 47 43.26877     , -59 41 19.5792     , 1.19  , -0.227, 11.71
* bet Del  , 20 37 32.94130     , +14 35 42.3195     , 3.523 , 0.616 , 32.33
* bet Gem  , 07 45 18.94987     , +28 01 34.3160     , 0.81  , 1.234 , 96.54
* bet Gru  , 22 42 40.05027     , -46 53 04.4752     , 1.366 , 2.872 , 18.43
* bet Hya  , 11 52 54.52149     , -33 54 29.2672     , 4.231 , -0.066, 10.53
* bet LMi  , 10 27 52.9995995   , +36 42 25.956038   , 3.931 , 1.107 , 21.19
* bet Leo  , 11 49 03.57834     , +14 34 19.4090     , 2.079 , 0.163 , 90.91
* bet Lib  , 15 17 00.41382     , -09 22 58.4919     , 2.57  , -0.079, 17.62
* bet Oct  , 22 46 03.5109801   , -81 22 53.811985   , 4.066 , 0.318 , 21.85
* bet Peg  , 23 03 46.45746     , +28 04 58.0336     , 1.636 , 3.061 , 16.64
* bet Per  , 03 08 10.1324535   , +40 57 20.328013   , 2.072 , -0.004, 36.27
* bet Tau  , 05 26 17.51312     , +28 36 26.8262     , 1.599 , -0.103, 24.36
* bet Tri  , 02 09 32.62712     , +34 59 14.2694     , 2.945 , 0.229 , 25.71
* bet UMi  , 14 50 42.32580     , +74 09 19.8142     , 1.451 , 2.016 , 24.91
* bet02 Tuc, 00 31 33.4223046159, -62 57 56.133914894, 4.46  , 0.223 , 19.5923
* c And    , 02 19 16.7969275675, +47 22 47.913234056, 5.263 , 0.056 , 11.9531
* chi Dra  , 18 21 03.38255     , +72 43 58.2518     , 3.459 , 0.671 , 124.11
* del Aql  , 19 25 29.90139     , +03 06 53.2061     , 3.279 , 0.477 , 64.41
* del Aur  , 05 59 31.6184193950, +54 17 05.056666306, 3.385 , 1.246 , 23.0557
* del Equ  , 21 14 28.8153077   , +10 00 25.125878   , 4.366 , 0.681 , 54.09
* del Leo  , 11 14 06.50142     , +20 31 25.3853     , 2.474 , 0.243 , 55.82
* eps Cet  , 02 39 33.7974128402, -11 52 19.551632148, 4.757 , 0.638 , 42.4864
* eps Cyg  , 20 46 12.6722768426, +33 58 13.182037125, 2.128 , 1.285 , 43.1769
* eps Sco  , 16 50 09.8108127   , -34 17 35.633735   , 1.869 , 1.428 , 51.19
* eps Sgr  , 18 24 10.31840     , -34 23 04.6193     , 1.762 , 0.068 , 22.76
* eps UMa  , 12 54 01.7495922   , +55 57 35.362645   , 1.723 , 0.032 , 39.51
* eta Boo  , 13 54 41.07892     , +18 23 51.7946     , 2.535 , 0.75  , 87.75
* eta Cen  , 14 35 30.4241610   , -42 09 28.170782   , 2.254 , -0.177, 10.67
* eta CrB A, 15 23 12.230856    , +30 17 17.56212    , 5.44  , 0.726 , 59.8
* eta Oph  , 17 10 22.68689     , -15 43 29.6639     , 2.371 , 0.115 , 36.91
* eta UMa  , 13 47 32.43776     , +49 18 47.7602     , 1.804 , -0.177, 31.38
* g Cen    , 13 49 26.7219319935, -34 27 02.784711526, 3.539 , 2.229 , 15.8468
* gam Cen  , 12 41 31.04008     , -48 57 35.5375     , 2.123 , 0.044 , 25.06
* gam CrA A, 19 06 25.2146839530, -37 03 47.792348952, 4.394 , 0.72  , 58.6956
* gam Cru  , 12 31 09.95961     , -57 06 47.5684     , 0.92  , 2.758 , 36.83
* gam Crv  , 12 15 48.37081     , -17 32 30.9496     , 2.53  , -0.079, 21.23
* gam Dra  , 17 56 36.36988     , +51 29 20.0242     , 1.556 , 2.474 , 21.14
* gam Gem  , 06 37 42.71050     , +16 23 57.4095     , 1.873 , 0.056 , 29.84
* gam Leo  , 10 19 58.35056     , +19 50 29.3468     , 1.777 , 1.83  , 25.07
* gam Ori  , 05 25 07.86325     , +06 20 58.9318     , 1.581 , -0.215, 12.92
* gam UMa  , 11 53 49.8473166   , +53 41 41.135025   , 2.392 , 0.068 , 39.21
* gam01 Leo, 10 19 58.354462    , +19 50 29.35920    , 1.565 , 1.417 , "~       	   "
* iot Cen  , 13 20 35.8128156095, -36 42 44.296492410, 2.682 , 0.091 , 56.0571
* iot Ser  , 15 41 33.0546906   , +19 40 13.437985   , 4.456 , 0.124 , 17.16
* iot01 Nor, 16 03 32.08942     , -57 46 30.2641     , 4.606 , 0.34  , 25.39
* kap Ari  , 02 06 33.9249723484, +22 38 53.947593963, 4.965 , 0.223 , 18.0292
* kap Peg  , 21 44 38.73522     , +25 38 42.1359     , 4.033 , 0.593 , 29.22
* kap02 Sgr, 20 23 53.17666     , -42 25 22.3376     , 5.579 , 0.31  , 10.47
* ksi UMa  , 11 18 10.931880    , +31 31 45.44004    , 3.638 , 0.77  , 113.2
* ksi02 Cet, 02 28 09.5570589539, +08 27 36.216809306, 4.252 , -0.004, 16.5681
* lam Hya  , 10 10 35.2885811545, -12 21 14.858923765, 3.28  , 1.234 , 30.0232
* mu. Gem  , 06 22 57.62686     , +22 30 48.8979     , 2.11  , 2.948 , 14.08
* mu. Ori  , 06 02 22.99668     , +09 38 50.1820     , 4.073 , 0.256 , 21.05
* mu. Ser  , 15 49 37.20696     , -03 25 48.7358     , 3.483 , 0.008 , 19.23
* mu.01 Cyg, 21 44 08.588952    , +28 44 33.38203    , 4.593 , 0.616 , 42.1
* nu. Oct  , 21 41 28.5420355132, -77 23 24.031541832, 3.389 , 1.255 , 51.5172
* ome Sgr  , 19 55 50.3625499909, -26 17 57.693299065, 4.488 , 0.925 , 42.7159
* phi Dra  , 18 20 45.43224     , +71 20 16.1499     , 4.172 , -0.029, 10.77
* phi Sgr  , 18 45 39.3895425891, -26 59 26.817522401, 3.091 , -0.054, 12.1552
* rho Ari  , 02 56 26.1717266513, +18 01 23.665188613, 5.473 , 0.616 , 27.2557
* rho Per  , 03 05 10.59385     , +38 50 24.9943     , 2.622 , 2.985 , 10.6
* sig Sgr  , 18 55 15.92650     , -26 17 48.2068     , 2.015 , -0.121, 14.32
* tau02 Lup, 14 26 10.81378     , -45 22 45.4023     , 4.25  , 0.584 , 10.22
* tet Aur  , 05 59 43.27012     , +37 12 45.3047     , 2.572 , -0.041, 19.7
* tet Cen  , 14 06 40.94752     , -36 22 11.8371     , 1.725 , 1.221 , 55.45
* tet Peg  , 22 10 11.9886121211, +06 11 52.517717538, 3.5   , 0.139 , 36.7678
* tet PsA  , 21 47 44.1499307   , -30 53 53.902653   , 4.969 , 0.104 , 10.16
* tet Sco  , 17 37 19.12985     , -42 59 52.1808     , 1.743 , 0.616 , 10.86
* tet01 Eri, 02 58 15.6763576272, -40 18 16.839497196, 3.124 , 0.243 , 19.9047
* ups Car  , 09 47 06.12170     , -65 04 19.2267     , 2.92  , 0.398 , 2.27
* ups01 Hya, 09 51 28.6749789221, -14 50 47.863368049, 3.821 , 1.132 , 13.1263
* zet Aqr  , 22 28 49.90685     , -00 01 11.7942     , 3.55  , 0.584 , 35.5
* zet Boo  , 14 41 08.95158     , +13 43 41.8967     , 3.731 , 0.115 , 18.56
* zet Her  , 16 41 17.16104     , +31 36 09.7873     , 2.635 , 0.809 , 93.32
* zet Sge  , 19 48 58.6597780   , +19 08 31.351561   , 4.984 , 0.14  , 12.79
* zet Sgr  , 19 02 36.73024     , -29 52 48.2279     , 2.538 , 0.176 , 36.98
* zet02 Aqr, 22 28 49.8888105229, -00 01 11.872738417, 4.23  , 0.627 , 34.507
* 94 Aqr   , 23 19 06.7191981624, -13 27 31.825994400, 4.96  , 0.948 , 39.4019
* f Eri    , 03 48 35.87724     , -37 37 12.5415     , 4.223 , 0.044 , 19.71
HD 3443    , 00 37 20.71960     , -24 46 02.1843     , 5.375 , 0.886 , 64.93
HD 8556    , 01 24 20.5021369   , -06 54 52.773474   , 5.822 , 0.573 , 21.44
HD 15524   , 02 30 32.3533307604, +25 14 06.102857207, 5.779 , 0.586 , 18.3024
HD 15755   , 02 32 52.6196598346, +34 32 32.581459846, 5.445 , 1.352 , 12.1221
