id,designation,appmag,absmag,b-v; interpret as bprp,ra,dec,ly,parallax,parsec,from earth X,from earth Y,from earth Z,galactic l,galactic b
1,Alp Cyg,1.25,-6.931940100539279,+0.09,310.35791666666665,45.280277777777776,1411.9307359307359,2.31,432.9004329004329,197.25062938072102,-232.11390502837304,307.60056746822016,84.1410364533164,2.058283098211669
2,Sig Sco,2.89,-3.75877073462938,+0.13,245.29708333333335,-25.592777777777776,696.9145299145298,4.68,213.67521367521366,-80.53644979136486,-175.07532365919562,-92.30172392636597,351.12961896506965,17.273064475261407
3,Lam Sco,1.63,-4.586819458770759,-0.22,263.40208333333334,-37.10388888888889,571.2014010507881,5.71,175.13134851138355,-16.04877595875543,-138.7497045866015,-105.65010884410943,351.586199513318,-1.9412359074237806
4,Ups Sco,2.69,-3.5459178440586423,-0.22,262.69083333333333,-37.295833333333334,576.2473498233215,5.66,176.67844522968198,-17.881336847634394,-139.4087018095527,-107.05486752639688,351.11536701618525,-1.5719292775553282
5,Alp TrA,1.92,-3.47156762258199,+1.44,252.16624999999996,-69.02777777777777,390.6059880239521,8.35,119.76047904191617,-13.1273943953947,-40.8044507378124,-111.82683334836251,321.4264252822608,-15.058993264729542
6,Del Sco,2.32,-3.5691596031599127,-0.12,240.08333333333334,-22.621666666666666,491.1987951807228,6.64,150.6024096385542,-69.33271831318544,-120.49217113632584,-57.928375215413475,349.9030507183289,22.763296995098205
7,Zet Cen,2.55,-2.7927106465549754,-0.22,208.885,-47.288333333333334,381.9156908665106,8.54,117.09601873536302,-69.54584686574324,-38.367618058418735,-86.03940185706998,313.8489048298185,14.366193232873306
8,Eps Cen,2.3,-3.2873773102255974,-0.22,204.97166666666666,-53.46638888888889,427.46526867627784,7.63,131.06159895150722,-70.72662584081479,-32.93779698994485,-105.30901502885821,309.9922861536772,8.879087970028673
9,Bet Cen,0.61,-4.789383368546379,-0.23,210.95583333333335,-60.37305555555555,392.01442307692304,8.32,120.19230769230768,-50.95401481948809,-30.562826824657787,-104.47867159695193,311.5983681771553,1.4152871334020793
10,Lam Vel,2.21,-3.9028658880534426,+1.66,136.99916666666667,-43.4325,544.5008347245408,5.99,166.94490818030047,-88.66289649774586,82.68189951922606,-114.7745470208947,265.7581410400173,2.771837329273503
11,Del Vel,1.96,0.007438449266426339,+0.04,131.17583333333332,-54.708333333333336,80.15630376013763,40.69,24.576062914721064,-9.34792700422983,10.687142951342544,-20.05951406812957,271.95102681474447,-7.389871682795535
12,Eps Car,1.86,-4.482056174066305,+1.28,125.62833333333333,-59.50972222222222,605.113172541744,5.39,185.5287569573284,-54.83647586900735,76.51481119980104,-159.87296281566188,274.1846550817867,-12.609465050068238
