idents,ra,dec,V,B-V,parallax   
Eps Peg,21:44:11.2,+09:52:30,2.39,+1.53,4.73
Alp Cyg,20:41:25.9,+45:16:49,1.25,+0.09,2.31
Sig Sco,16:21:11.3,-25:35:34,2.89,+0.13,4.68
Lam Sco,17:33:36.5,-37:06:14,1.63,-0.22,5.71
Ups Sco,17:30:45.8,-37:17:45,2.69,-0.22,5.66
Alp TrA,16:48:39.9,-69:01:40,1.92,+1.44,8.35
Del Sco,16:00:20.0,-22:37:18,2.32,-0.12,6.64
Zet Cen,13:55:32.4,-47:17:18,2.55,-0.22,8.54
Eps Cen,13:39:53.2,-53:27:59,2.30,-0.22,7.63
Bet Cen,14:03:49.4,-60:22:23,0.61,-0.23,8.32
Lam Vel,09:07:59.8,-43:25:57,2.21,+1.66,5.99
Del Vel,08:44:42.2,-54:42:30,1.96,+0.04,40.69
Eps Car,08:22:30.8,-59:30:35,1.86,+1.28,5.39
Del CMa,07:08:23.5,-26:23:36,1.84,+0.68,2.03
Eps CMa,06:58:37.5,-28:58:20,1.50,-0.21,3.24
Bet CMa,06:22:42.0,-17:57:21,1.98,-0.23,6.62
Alp Ori,05:55:10.3,+07:24:25,0.50,+1.85,6.55
Eps Ori,05:36:12.8,-01:12:07,1.70,-0.19,1.65
Zet Ori,05:40:45.5,-01:56:34,2.05,-0.21,4.43
Bet Eri,05:07:51.0,-05:05:11,2.79,+0.13,3.78
Alp Per,03:24:19.4,+49:51:40,1.79,+0.48,6.44
Alp UMi,02:31:48.7,+89:15:51,2.02,+0.60,7.54
Alp Sco,16:29:24.5,-26:25:55.2,1.84,0.91,5.89
Bet Ori,05:14:32.3,-08:12:06,-0.03,0.13,3.78
