id   , designation                 , appmag   , absmag               , bprp          , ra                   , dec                  , ly                 , parallax           , parsec             , from earth X         , from earth Y        , from earth Z         , galactic l            , galactic b
    1, Gaia DR3 5761035592009134848, 6.97892  , 1.9789491607470318   , 0.33607674    , 132.65107615466013   , -4.699385216511936   , 326.1516200738696  ,  10.00013429110453 , 99.99865710698856  , -67.52451422701711   , 73.30110187512189   , -8.192671450719862   , 231.73509098924362    , 23.59052473253628
    2, Gaia DR3 2087355209670285696, 7.8516293, 2.8518042800243277   , 0.5429692     , 297.69981211042443   , 50.35547892001268    , 326.1297189912209  ,  10.000805845258764, 99.99194219674662  , 29.65539416180581    , -56.48565230045765  , 76.99556601244811    ,  83.77047694772311    , 11.932194794589634
    3, Gaia DR3 1013602356187567360, 7.876371 , 2.8770200747389145   , 0.57916784    , 131.34976709474762   , 46.17072206252723    , 326.05852329101333 ,  10.002989546416476, 99.97011347055194  , -45.73739998721786   , 51.97067865078817   , 72.11908478551835    , 173.90688556505214    , 38.25552510269698
    4, Gaia DR3 6086154926875943040, 6.355773 , 1.3565523390663854   , 0.53882074    , 196.2774187813667    , -47.117049325039815  , 326.03896397259297 ,  10.003589633152462, 99.96411654931781  , -65.29910681734634   , -19.066862242990652 , -73.2482491978423    , 305.11413247024234    , 15.828360405234347
    5, Gaia DR3 6602149033635959680, 7.3941274, 2.3950524529465547   , 0.34784174    , 337.7546650146133    , -31.025878227811813  , 326.0170862787484  ,  10.00426093376998 , 99.95740881012412  , 79.28162757886693    , -32.42743494825547  , -51.520564507357506  ,  16.92933779982121    , -58.92796761360261
    6, Gaia DR3 3761497761876022400, 7.841304 , 2.842375294448521    , 0.97788143    , 161.70689415477983   , -9.39937543394476    , 325.99513084300844 ,  10.004934710422685, 99.95067723512935  , -93.62536892802261   , 30.9511331407206    , -16.32346562951777   , 258.6202262091236     , 42.52090502055869
    7, Gaia DR3 624679972178496256 , 7.9758844, 2.976996582454536    , 0.47519016    , 155.19892785272293   , 19.538969042619563   , 325.98899253550786 ,  10.005123101341342, 99.94879521931465  , -85.50569694879678   , 39.511120383606105  , 33.427665505165116   , 216.79386041327749    , 54.489790933455716
    8, Gaia DR3 1466997348973437696, 7.8734756, 2.8746576938818365   , 0.4491272     , 197.8115552420746    , 33.46573954698178    , 325.978497357773   ,  10.005445225487746, 99.94557737946658  , -79.37976077386931   , -25.503713487141386 , 55.1138151062329     ,  92.11500183670132    , 82.38482899137455
    9, Gaia DR3 6160666115465003904, 7.419169 , 2.4204114565141825   , 1.2400026     , 190.248324843716     , -31.738084789209353  , 325.96943592709806 ,  10.005723360914846, 99.9427991289745   , -83.64145774042383   , -15.122314049364872 , -52.57361755275949   , 300.019411583861      , 31.19668810377491
   10, Gaia DR3 687530844257048448 , 7.790436 , 2.79173328516545     , 0.6662011     , 139.9566926811889    , 24.416181396949916   , 325.9612054569274  ,  10.005976003886705, 99.94027565242628  , -69.66758208625355   , 58.54783431794731   , 41.311472987733865   , 203.51034725370158    , 42.3619468899022
   11, Gaia DR3 3238066592819780608, 6.406226 , 1.4075875003467386   , -0.031486034  ,  81.66183161969325   , 6.868514648632811    , 325.9515662147639  ,  10.00627190682377 , 99.93732024392129  , 14.388436759938296   , 98.1712756465547    , 11.95163181617957    , 196.51882370272799    , -15.638030276245223
   12, Gaia DR3 1923517463047771904, 7.666008 , 2.6674409695971253   , 0.4720459     , 351.68084222238843   , 41.04582816640882    , 325.9408384106058  ,  10.006601246730645, 99.93403108040503  , 74.57563632554455    , -10.904876276155909 , 65.62292821888713    , 105.92968505397417    , -19.099417440079968
   13, Gaia DR3 5482971089912992000, 6.4527206, 1.4542891889448697   , 0.15415955    ,  95.94561301689878   , -58.54376005774776   , 325.9204824054519  ,  10.007226228704925, 99.9277898936251   , -5.401618787192006   , 51.86652142661785   , -85.2422997261602    , 267.56436970897704    , -26.455996909513647
   14, Gaia DR3 2695882153438980864, 6.9536304, 1.9552089608773802   , 0.64132404    , 329.37904396214236   , 4.157597643338261    , 325.91898570230353 ,  10.007272184441348, 99.92733100182231  , 85.76674405530248    , -50.764661039512234 , 7.244741875555116    ,  62.49126330602975    , -37.50897800998589
   15, Gaia DR3 2252497251952114944, 7.817048 , 2.8187996267730924   , 0.5911684     , 287.82493058862383   , 63.20985831551577    , 325.8930110625841  ,  10.008069793720288, 99.91936713185841  , 13.78596651580294    , -42.87415471947402  , 89.19436031693299    ,  93.95685127699375    , 21.87233468161684
   16, Gaia DR3 1612973219962311552, 7.3126554, 2.3144951159845055   , 0.7224541     , 227.34333756708855   , 57.111709120303416   , 325.8797909654988  ,  10.00847579512933 , 99.915313826972    , -36.762909156014004  , -39.90009542074428  , 83.90197156768406    ,  93.62708523163873    , 51.39124745933797
   17, Gaia DR3 1340726238185606272, 5.709153 , 0.711077434867911    , 1.1362457     , 259.59687893257745   , 38.811716643958505   , 325.86707718044585 ,  10.008866278301385, 99.9114157582402   , -14.057939590097227  , -76.57219669447207  , 62.62079548105554    ,  63.18782598900454    , 34.190956660029855
   18, Gaia DR3 5920334795155430400, 7.289883 , 2.292012874773401    , 0.5220814     , 266.88694887760744   , -56.16602582036441   , 325.83624881969524 ,  10.009813247650099, 99.90196372891968  , -3.0207446503315043  , -55.542157244145926 , -82.98401187770116   , 336.29174562354996    , -13.784705982024752
   19, Gaia DR3 1532879153702173184, 7.229446 , 2.2316562911472344   , 0.23045635    , 184.17560694550195   , 39.59302681594794    , 325.824182313898   ,  10.010183949016476, 99.89826411713966  , -76.7763446859237    , -5.605240379899113  , 63.66818161821158    , 151.30110730376418    , 75.36389956900396
   20, Gaia DR3 5433090718427265280, 7.6560235, 2.658396954591436    , 0.67039824    , 146.40452281430208   , -37.81229785944183   , 325.7997009535542  ,  10.010936137921643, 99.89075808924386  , -65.73429343599689   , 43.66628107296416   , -61.240690030166924  , 266.9047080912397     , 11.775890018454959
   21, Gaia DR3 6019520738365182976, 7.8584857, 2.860924182469767    , 1.0807028     , 250.7733783341212    , -36.634622309657296  , 325.7899445569265  ,  10.011235934355534, 99.88776676097528  , -26.395686005914627  , -75.68483825792669  , -59.60401804109887   , 345.9035810812588     , 6.423733917685038
   22, Gaia DR3 4929561603182893568, 6.637886 , 1.6403819645900732   , 0.61293554    ,  20.327044718589708  , -49.74136519959017   , 325.78132052429294 ,  10.011500950241837, 99.88512261748764  , 60.52983567924962    , 22.42315256656383   , -76.22584169381261   , 291.1442753799921     , -66.5996979634584
   23, Gaia DR3 6540158877300621696, 7.4706726, 2.4734686723955317   , 0.5163355     , 345.4445205810816    , -44.8410028853688    , 325.73629910889815 ,  10.0128846828631  , 99.8713189727916   , 68.54254804886075    , -17.797134613573494 , -70.42344396492578   , 346.733702370505      , -61.58973826583177
   24, Gaia DR3 5685269001653018368, 7.7534375, 2.7562533673433283   , 0.6446862     , 146.70785904525124   , -16.546611247804666  , 325.7333297395344  ,  10.012975959838178, 99.87040855895167  , -80.02290197073707   , 52.549510353800635  , -28.442619912545556  , 251.45854991698513    , 27.343867000752503
   25, Gaia DR3 2985440739638761856, 7.0839357, 2.0871849660619546   , 0.66932774    ,  81.88572281161991   , -13.57922628268044   , 325.66832393061003 ,  10.014974623982585, 99.85047766424964  , 13.699715547745857   , 96.08756926303857   , -23.443863094857665  , 216.00826636086117    , -24.867582022679056
   26, Gaia DR3 2154110340158766720, 7.332785 , 2.3360441847528985   , 0.5742378     , 280.9398535943906    , 57.94839482936611    , 325.66683637034276 ,  10.015020369746857, 99.85002157567017  , 10.056111234868647   , -52.02572945075903  , 84.6299291658109     ,  87.4974659061512     , 23.767350380939952
   27, Gaia DR3 2850476477601710976, 6.88164  , 1.884958020550914    , 0.6730304     ,   3.537864878058861  , 26.258693968005954   , 325.6580125839836  ,  10.015291729261167, 99.84731618734091  , 89.37298512468378    , 5.525572933148838   , 44.17492641169124    , 112.25924164281612    , -35.94047577725326
   28, Gaia DR3 1282259844820014720, 6.746892 , 1.7502455520220854   , 0.5630932     , 223.64819707516335   , 30.06373224579642    , 325.65268393528993 ,  10.015455609289868, 99.84568241433239  , -62.527938608156155  , -59.64492886431604  , 50.01899290238715    ,  46.69345069943234    , 63.10856752054531
   29, Gaia DR3 6238804592922052224, 6.9575167, 1.9608812661782924   , 0.26795912    , 233.2895410239539    , -24.490569499667878  , 325.6510321618582  ,  10.015506409876533, 99.84517597770952  , -54.31474774139125   , -72.84107069217819  , -41.39016506642505   , 343.47376844849407    , 25.570168749474462
   30, Gaia DR3 4302763834205744640, 7.9359646, 2.9395132710371517   , 0.62589455    , 295.27736606398827   , 10.679718130998      , 325.62342352378727 ,  10.01635559476801 , 99.83671112099341  , 41.89192067995792    , -88.7137308656992   , 18.501616823647986   ,  47.98765016056051    , -5.7338507691515375
   31, Gaia DR3 5729397076200578048, 7.8291855, 2.8328063822774077   , 0.7473297     , 137.27378891941524   , -16.75875470229653   , 325.61259525804354 ,  10.016688689254352, 99.83339115577931  , -70.22317309044868   , 64.85958393126987   , -28.786217588184098  , 245.1870500997905     , 20.352471980787712
   32, Gaia DR3 2603370653827638656, 3.350818 , -1.6454618888033523  , 1.818984      , 342.3978595434945    , -13.592800139917461  , 325.5977162075176  ,  10.017146428389767, 99.82882921286672  , 92.48954674345016    , -29.34321541064024  , -23.461768785997833  ,  51.7845559854906     , -58.32654103489886
   33, Gaia DR3 6054195353727048960, 6.977365 , 1.9816431306487816   , 0.1020093     , 183.04240384189646   , -63.45415847376569   , 325.514055685137   ,  10.019720939961005, 99.80317875039461  , -44.54054006871135   , -2.367326478316347  , -89.28163609844859   , 298.40145858610475    , -0.8085849037024562
   34, Gaia DR3 700831670779262592 , 6.774279 , 1.7786053447306855   , 0.1817584     , 140.41395231712542   , 32.2641039515384     , 325.50682824488035 ,  10.01994341435539 , 99.80096280457215  , -65.03774169522501   , 53.7772280004084    , 53.27601787386961    , 193.03741578895009    , 44.31592251703936
   35, Gaia DR3 6519284133650892288, 7.5896506, 2.5940591737695557   , 0.57558155    , 339.51922139589186   , -46.71004773063815   , 325.49450222741234 ,  10.020322855472546, 99.79718362606003  , 64.10451602881066    , -23.943187676140287 , -72.64167294542868   , 347.17991986537254    , -57.060958901806174
   36, Gaia DR3 2950022171576148224, 7.809981 , 2.814478284756289    , 0.40234327    ,  98.88880691821299   , -16.0078456999715    , 325.48120509845154 ,  10.02073222327367 , 99.79310670306589  , -14.821851468861434  , 94.77148875783192   , -27.519843442662307  , 225.4466343152035     , -10.87521614924538
   37, Gaia DR3 2720866218717731328, 7.1484904, 2.153233439508133    , 0.22878647    , 332.97773598547633   , 6.896269609335425    , 325.44437109296894 ,  10.0218663762609  , 99.78181333256752  , 88.2455423523769     , -45.006551037825986 , 11.981022099544232   ,  68.09284776020074    , -38.423115224065135
   38, Gaia DR3 1945461889773383168, 7.059555 , 2.064328415234119    , 0.21038818    , 359.7993942025151    , 53.56310555562419    , 325.43981863360807 ,  10.022006568507777, 99.78041754056589  , 59.26292443951789    , -0.207494075455008  , 80.27449444035331    , 114.93933097338021    , -8.603847783993851
   39, Gaia DR3 1033349172706023936, 7.525812 , 2.5307018914781523   , 0.39145327    , 122.55223779272065   , 55.804053059616805   , 325.42236274010486 ,  10.022544156268726, 99.77506553308996  , -30.172755964932033  , 47.266586713040496  , 82.52598548403816    , 162.01050253681456    , 32.816208844474986
   40, Gaia DR3 709847082011940352 , 7.651017 , 2.6559213087178195   , 1.0392942     , 129.50071864035075   , 32.221060045230466   , 325.4202021431748  ,  10.022610700011226, 99.77440309029262  , -53.69146057088192   , 65.13128553011282   , 53.19844188493253    , 191.01625552735948    , 35.22114723964081
   41, Gaia DR3 5148343698186648064, 7.6439238, 2.6488591339142573   , 0.7430725     ,  32.79272966810512   , -14.70223484948333   , 325.41555269263284 ,  10.02275390039721 , 99.77297756062524  , 81.1265185238863     , 52.26790498635038   , -25.321950000827513  , 182.95089432533146    , -67.9433160725315
   42, Gaia DR3 1012629082238847872, 5.3612614, 0.36649634923798047  , 0.6234727     , 136.35030839468425   , 48.53023753473208    , 325.3706556174241  ,  10.024136914900504, 99.7592120388477   , -47.80144598970859   , 45.59982014734597   , 74.75010736068846    , 170.67412169155244    , 41.555120979821986
   43, Gaia DR3 6146015672781450752, 7.8882694, 2.8936364604459124   , 0.5958085     , 189.0216045343771    , -42.30949884452974   , 325.3508608447243  ,  10.02474679652561 , 99.75314292691974  , -72.85681497941682   , -11.567548841583825 , -67.14734431569929   , 299.6428648459418     , 20.585668538143075
   44, Gaia DR3 1615463167122629632, 7.643447 , 2.6490937518148145   , 0.5428939     , 229.99857099706298   , 60.339756873324355   , 325.3089574951278  ,  10.02603809349101 , 99.74029528665051  , -31.727052958687555  , -37.808914242131145 , 86.67183290006069    ,  96.37638795936617    , 48.36134818107882
   45, Gaia DR3 6617124931762408192, 7.8079705, 2.8137215978116368   , 0.44747353    , 327.99353986964286   , -30.316469382538262  , 325.29332576444796 ,  10.026519887351661, 99.73550257068642  , 73.00901617968236    , -45.63254344177471  , -50.34406626939088   ,  17.089333403770702   , -50.50499939271906
   46, Gaia DR3 4131915498335868928, 6.672084 , 1.6782770402307783   , 0.18001604    , 250.3279917848426    , -18.05961694880574   , 325.2271281510563  ,  10.028560712454228, 99.71520626665041  , -31.913926325547774  , -89.26953610018579  , -30.91235338413712   ,   0.3446723101514209  , 18.56280374945703
   47, Gaia DR3 401012338992091520 , 7.985641 , 2.9920051051392287   , 0.6210723     ,  18.417527699222717  , 46.65801509337742    , 325.20150831941436 ,  10.029350776554459, 99.7073511814636   , 64.92904143560649    , 21.621080409140507  , 72.51416647675464    , 126.67529255124887    , -16.182545242915385
   48, Gaia DR3 3137587069884383744, 7.990412 , 2.9968635835874835   , 0.61928797    , 117.34976995388989   , 5.079831042539385    , 325.1884077383615  ,  10.029754820239994, 99.70333452040174  , -45.62592163399178   , 88.21051442141575   , 8.828099175087353    , 214.80491411772238    , 14.953822586046217
   49, Gaia DR3 691753312505451648 , 6.8130097, 1.8195114089223763   , 0.36952114    , 134.9912331993168    , 26.434598807970726   , 325.1809013156973  ,  10.029986345457479, 99.70103303808526  , -63.11843067538876   , 63.13774907511976   , 44.384505626003374   , 199.43735271107548    , 38.5433002652956
   50, Gaia DR3 3323349112719138688, 7.652329 , 2.6589004720503144   , 0.4654007     ,  90.8844289836766    , 8.58942631026991     , 325.17045436167945 ,  10.030308585085173, 99.69782998371315  , -1.5216340054477118  , 98.5678708111261    , 14.890157056794106   , 199.6033639863815     , -6.8447410948861025
   51, Gaia DR3 5864092709508948608, 6.0959034, 1.1032322167393653   , 0.11900568    , 202.28230143587697   , -64.67583025706043   , 325.057064398524   ,  10.033807467113794, 99.66306442270694  , -39.44650009782927   , -16.163955985134862 , -90.08566238346262   , 306.79540842493293    , -1.9542430646984337
   52, Gaia DR3 6105713692544123520, 3.9865818, -1.0060616472255295  , -0.24001718   , 220.48979284604397   , -37.79363633838957   , 325.052912498398   ,  10.033935628914184, 99.66179144286721  , -59.89491911372812   , -51.136642784581774 , -61.07466825684448   , 325.67164098556896    , 20.315460882335454
   53, Gaia DR3 6243683778850814464, 7.7957354, 2.8034112301230074   , 0.46553993    , 241.7144875672661    , -21.863849669502294  , 325.0051226198428  ,  10.035411053551403, 99.64713898252457  , -43.822925923481634  , -81.43732984045143  , -37.108823470505335  , 351.63296475487516    , 22.21616241966048
   54, Gaia DR3 1412221397666234880, 7.1581044, 2.165839793696116    , 0.41061974    , 251.14402414554652   , 49.862683499059656   , 324.99620783888685 ,  10.035686329044433, 99.6444056950928   , -20.759469912612758  , -60.78581718545145  , 76.17831991040786    ,  76.80736581198069    , 40.65361285037742
   55, Gaia DR3 211030920283717888 , 7.830771 , 2.838510215737375    , 0.522326      ,  86.62422470514227   , 49.125967032714534   , 324.9956358086752  ,  10.035703993022475, 99.6442303096295   , 3.8396695175898556   , 65.0938572440073    , 75.34599737936301    , 162.5123604307854     , 10.22804426806765
   56, Gaia DR3 6304354486870681472, 6.837951 , 1.8457275921611247   , 0.11772919    , 212.12068291791903   , -11.829476474613758  , 324.9900418761865  ,  10.035876733855668, 99.6425152001455   , -82.59796395515787   , -51.85516410917319  , -20.42667719146671   , 330.7300402624291     , 47.022756799587
